id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
144955,Apartment near Avenida da Liberdade,702053,Carlos,Lisboa,Santo Antnio,38.72173,-9.14137,Entire home/apt,40,3,7,21/01/2021,0.52,1,315
147738,Casa Castelo de S. Jorge,713828,Ana Paula,Lisboa,So Vicente,38.7155,-9.13203,Entire home/apt,59,2,14,17/03/2020,0.25,1,312
148344,Casa do Celeiro (architect/artist house),716185,Mary,Sintra,Colares,38.78808,-9.45999,Entire home/apt,100,3,37,27/08/2020,0.35,1,299
149274,"Sunny 1BR - Av. D. Carlos I, Lisbon",676330,Margarida,Lisboa,Misericrdia,38.71018,-9.15282,Entire home/apt,30,2,113,11/03/2020,1.07,4,0
149589,Refuge at the Heart of the Castle!,721565,Ana,Lisboa,Santa Maria Maior,38.71331,-9.13314,Entire home/apt,51,1,127,01/01/2021,1.14,3,352
150895,Castelo Studio Flat,726687,Pedro,Lisboa,Santa Maria Maior,38.71045,-9.12516,Entire home/apt,55,2,110,02/11/2019,0.96,3,0
150945,Castelo Loft Apartment,726687,Pedro,Lisboa,Santa Maria Maior,38.71295,-9.13172,Entire home/apt,70,2,134,12/03/2020,1.15,3,0
151327,Air conditioning - Very Central -  'Cats House',727771,Susana,Lisboa,Santa Maria Maior,38.71227,-9.12942,Entire home/apt,44,2,389,13/09/2020,3.34,9,363
151909,FADO/SAUDADE LargeRoom/priv.WC for 2 Sintra area,731092,Teresa,Sintra,Rio de Mouro,38.75831,-9.34034,Private room,45,2,3,21/08/2019,0.07,4,365
154968,Tranquility in Principe Real.,739283,Andre,Lisboa,Misericrdia,38.7144,-9.14972,Entire home/apt,58,2,43,26/09/2019,0.37,1,89
155865,Great apartment in Lisbon!,749485,Ricardo,Lisboa,Alcntara,38.707,-9.17749,Entire home/apt,65,2,140,25/02/2020,1.2,1,365
158255,Charming Apartment in Lisbon,743285,Antonio,Lisboa,Estrela,38.71143,-9.15453,Entire home/apt,350,31,2,28/12/2015,0.02,1,363
161268,Romantic JARDIM apt - LIFT! - PR.REAL/BAIRRO ALTO!,1554338,Luis & Sofia,Lisboa,Santo Antnio,38.71563,-9.1457,Entire home/apt,144,3,250,08/03/2020,2.26,8,0
161476,Between the Castle & the Tejo 1,772370,Gerald Christopher,Lisboa,Santa Maria Maior,38.71401,-9.13509,Private room,29,2,141,17/03/2020,1.22,1,89
162533,Charm in the heart of Lisbon!,776635,Marisa,Lisboa,Santa Maria Maior,38.71554,-9.13691,Entire home/apt,52,3,25,25/11/2020,0.23,7,353
166114,"Casa do Duque, no Centro Chiado",791812,Mário,Lisboa,Santa Maria Maior,38.71417,-9.14054,Entire home/apt,57,4,192,07/02/2020,1.81,1,290
172638,Duplex at old typical Lisbon - Alfama,823780,André,Lisboa,Santa Maria Maior,38.71228,-9.13037,Entire home/apt,79,2,388,21/09/2020,3.34,2,270
174064,Spacious Lisbon Apartment-Central,830888,João,Lisboa,Misericrdia,38.71385,-9.14969,Entire home/apt,77,4,141,25/11/2018,1.22,1,0
174529,LISBON GREAT VIEW!,833952,Filipe,Lisboa,Arroios,38.71964,-9.13396,Entire home/apt,78,4,87,28/11/2019,0.79,1,259
176153,The White House - Historical Center,842219,Inês & António,Lisboa,Misericrdia,38.70774,-9.14314,Entire home/apt,200,1,681,05/10/2020,5.87,2,163
178515,Meet Lisboa on your foot,753902,Bruno,Lisboa,Santa Maria Maior,38.70968,-9.13277,Entire home/apt,65,3,158,02/08/2020,2,6,348
178524,Duplex central Apt with river view,753902,Bruno,Lisboa,Santa Maria Maior,38.71055,-9.13248,Entire home/apt,60,3,250,11/10/2020,2.17,6,348
181107,Double bed room in Anjos-Graça,867993,Filipe,Lisboa,Arroios,38.72156,-9.13266,Private room,23,3,114,10/08/2020,0.99,2,365
184888,Caravela - Torre Sao Rafael,887175,Tania,Lisboa,Parque das Naes,38.76861,-9.09669,Entire home/apt,118,90,15,13/05/2019,0.2,1,364
185126,CHIADO 4 - top location! heart of LISBOA,184400,Justostay,Lisboa,Misericrdia,38.71196,-9.14322,Entire home/apt,50,30,17,19/12/2020,0.16,10,365
186996,"Apartment Jasmim, in historic center",899179,Beco Do Jasmim,Lisboa,Santa Maria Maior,38.7155,-9.13513,Entire home/apt,16,4,63,08/01/2021,1.12,3,86
187442,Alfama Balcony: Awesome Tagus View!,901710,"André, Ricardo & Luís",Lisboa,Santa Maria Maior,38.71074,-9.13134,Entire home/apt,79,2,388,04/11/2020,3.43,2,365
189676,Santa Catarina - City / river views,915146,Pedro,Lisboa,Misericrdia,38.70997,-9.14864,Entire home/apt,94,14,224,07/09/2020,2.02,3,286
193321,"Great sunny flat, historical center",515924,Joel,Lisboa,Santo Antnio,38.71982,-9.14255,Private room,25,10,23,30/08/2019,0.2,10,0
196619,COSY HOUSE,144484,Bruno,Lisboa,Penha de Frana,38.72545,-9.12151,Entire home/apt,65,1,0,,,2,0
198480,Ideal to work from home; close to the Airport,640147,Ana,Lisboa,Santa Clara,38.77778,-9.15125,Entire home/apt,30,8,19,19/02/2020,0.34,1,334
199461,Romantic Apartment in the Old Town,914126,Martin,Lisboa,Santa Maria Maior,38.71138,-9.13655,Entire home/apt,88,2,91,18/03/2020,0.82,17,349
205532,LISBON chiado W  ELEVATOR & GARDEN - 227/AL,184400,Justostay,Lisboa,Santa Maria Maior,38.71042,-9.14096,Entire home/apt,130,3,13,20/09/2018,0.14,10,365
208683,Cozy central apartment with view,753902,Bruno,Lisboa,Santa Maria Maior,38.70934,-9.13202,Entire home/apt,60,3,124,08/09/2020,1.35,6,106
211614,"Studio12 Monte Estoril, Cascais -Pool and tennis",758277,Margarida,Cascais,Cascais e Estoril,38.71015,-9.40746,Entire home/apt,55,3,50,10/09/2020,0.47,2,347
211616,Beguinhos: A balcony over Lisbon,1091599,Francisco,Lisboa,Santa Maria Maior,38.71315,-9.12715,Entire home/apt,75,3,182,21/07/2020,1.75,1,350
214729,Lisboa alojamento de curta duração,1108485,Maria,Lisboa,Alvalade,38.75048,-9.146,Private room,30,4,27,24/11/2019,0.38,2,363
217187,Lisboa Popular,1121762,Silvia,Lisboa,So Vicente,38.7144,-9.12812,Entire home/apt,70,2,184,01/08/2019,1.61,2,365
217281,Room near the University of Lisbon,1108485,Maria,Lisboa,Alvalade,38.74891,-9.14651,Private room,22,5,1,22/12/2020,0.54,2,363
