id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31218913,Wohaza Apartment w/free private parking,280564100,LovelyStay,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14322,-8.60607,Entire home/apt,35,2,68,31/01/2021,2.77,104,170
31233355,Home CR Beach Matosinhos,230617370,Cátia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18276,-8.6877,Entire home/apt,69,2,27,01/09/2020,1.12,1,0
31250155,Casa Praia Vila do Conde,201122386,Sergio,VILA DO CONDE,Vila do Conde,41.35279,-8.75101,Entire home/apt,50,3,30,29/01/2021,1.18,1,193
31251608,House in Aguda Beach,233813564,Maria,VILA NOVA DE GAIA,Arcozelo,41.04973,-8.65376,Entire home/apt,60,2,18,11/10/2019,0.71,1,246
31257567,Porto Home - your portuguese house!,232762902,Porto,PORTO,Paranhos,41.16972,-8.61912,Entire home/apt,143,2,31,02/01/2021,1.28,3,322
31259107,Bragas Cozy Apartment w/ Parking Space,12786268,Davide,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15274,-8.61604,Entire home/apt,45,2,66,05/11/2020,2.57,2,262
31262233,The Porto Way Ponte d´Arrabida,233286085,Antonio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14723,-8.60822,Entire home/apt,110,2,1,26/06/2019,0.05,2,365
31263757,The Porto Way  Ponte do Infante,233286085,Antonio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14555,-8.60726,Entire home/apt,103,2,1,29/08/2019,0.06,2,2
31274319,"House Canidelo (Vila Nova de Gaia, Oporto)",234029935,Manuela,VILA NOVA DE GAIA,Canidelo,41.13181,-8.64108,Entire home/apt,39,2,12,26/10/2019,0.51,1,43
31289964,Liiiving in Porto | Center Spot Apartment,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15346,-8.61209,Entire home/apt,67,3,3,23/02/2020,0.14,70,227
